Pop. Density,Obesity Rate,Smoking Rate,Diabetes Rate,Elderly Pop %,Vaccine %,% Black,% American Indian,% Asian,% Pacific Islander,% Hispanic,% White,% Limited Access to Healthy Foods,Death Rate
-0.22848,-1.066297,1.167858,0.394171,1.953306,-1.19582,-0.59196,-0.182432,-0.304061,-0.155637,-0.53276,0.882716,-0.195185,0.027
-0.177453,0.963352,0.910477,0.016612,-0.532583,-1.656844,1.108399,-0.195754,-0.360798,-0.129027,-0.440546,-0.368598,0.64235,0.022
-0.184373,1.583989,1.374938,1.501677,-0.982603,-1.012731,1.848105,-0.246643,-0.365054,-0.222154,-0.395543,-0.881059,-0.195185,0.017
-0.248679,1.684632,1.661383,1.652701,0.899655,0.004985,2.141037,-0.214677,-0.285465,-0.296305,-0.483135,-1.077985,-0.314833,0.021
-0.243255,-1.636612,1.27211,-0.662994,1.514078,-1.208191,-0.597051,-0.132148,0.012059,-0.217229,-0.368238,0.705425,0.283406,0.040
-0.245192,1.667858,0.997097,0.721389,0.25895,-0.692736,1.517056,-0.25185,-0.351958,-0.239801,-0.393175,-0.659912,0.64235,0.028
-0.246126,1.013674,0.949006,0.066953,1.564945,-1.450662,-0.593341,-0.138909,-0.396457,-0.266167,-0.552482,0.867868,1.479884,0.032
-0.216538,1.231735,0.930493,1.552019,0.281629,0.117972,2.154657,-0.244394,-0.373136,-0.196659,-0.515387,-1.0475,0.64235,0.025
-0.240409,0.443359,0.887492,-0.033729,0.154289,0.097354,-0.487305,-0.179697,-0.419757,-0.228137,-0.470959,0.781259,-0.314833,0.014
-0.227537,1.919468,1.387225,2.080601,-0.05145,-0.43542,3.667905,-0.258039,-0.361879,-0.270211,-0.548337,-2.051998,2.676362,0.024
-0.239988,-0.797914,0.882514,1.124118,0.152568,-0.78593,-0.399831,-0.155573,-0.270668,-0.208148,-0.234676,0.562245,0.283406,0.021
-0.216786,1.315605,1.50759,2.156113,-0.28906,-0.608614,-0.054765,-0.251796,-0.4307,-0.208,-0.466033,0.512294,1.240589,0.020
-0.22246,0.409811,0.924047,0.318659,0.810131,-1.321179,-0.592904,-0.030405,-0.181125,-0.17898,-0.222015,0.576818,1.360237,0.037
-0.134797,0.208524,0.520363,0.545195,-0.747455,-0.105529,-0.407453,-0.181767,-0.104216,-0.083133,-0.02085,0.378006,-0.314833,0.013
-0.245421,0.426585,0.866095,0.192806,0.870108,-0.735622,0.190273,-0.250201,-0.484903,-0.121503,-0.566278,0.437778,1.360237,0.023
0.499514,0.074332,-0.621132,-0.08407,-0.766238,0.522914,1.972966,-0.246431,0.258634,-0.171109,-0.246541,-1.193494,0.163759,0.016
-0.226186,-0.076634,1.44687,1.149289,-0.001811,-0.8016,-0.559821,-0.225387,-0.39322,2.757369,-0.545246,0.848694,0.761998,0.019
-0.214485,2.473009,1.447774,0.746559,-0.608511,-0.319958,3.027674,-0.202962,-0.315232,-0.139112,-0.304371,-1.793561,0.761998,0.022
-0.018101,-0.563079,-0.196241,-0.411288,-0.333245,0.080035,-0.077424,-0.223487,-0.077179,-0.133575,-0.338933,0.393327,-0.314833,0.014
-0.241262,0.728517,1.59601,1.048607,0.354719,-0.331505,-0.58784,0.045152,0.579154,-0.182328,-0.144542,0.413441,-0.075537,0.013
-0.245885,-1.385003,1.500149,1.300313,1.302895,-1.011081,-0.602818,-0.101448,-0.394786,-0.237188,-0.504418,0.834183,1.001293,0.018
-0.011934,0.208524,0.616726,0.545195,-0.695937,-0.136869,-0.167949,0.006855,1.074351,0.19899,0.357754,-0.347416,-0.554128,0.019
